,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,36.38252902030945,0.24963564265858926,0.07141232490539551,0.00040643312451645703,0.4,0.15,5,260,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 260, 'subsample': 0.4}",0.9176556066844272,0.9203003875968992,0.9219961240310077,0.9199840394374448,0.0017860720081572285,592
1,41.12458101908366,0.7875365914097601,0.07027387619018555,0.0007355176713297746,0.4,0.15,5,260,0.5,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 260, 'subsample': 0.5}",0.9193509324291596,0.9198158914728682,0.9234496124031008,0.9208721454350428,0.0018324025588743365,541
2,43.77210100491842,1.3661318243510092,0.06328455607096355,0.007612251953938799,0.4,0.15,5,260,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 260, 'subsample': 0.6}",0.9220150157423105,0.9219961240310077,0.9280523255813954,0.9240211551182379,0.0028504784044629202,243
3,46.10168091456095,2.798880336572546,0.06968092918395996,0.0016875824497346414,0.4,0.15,5,260,0.7,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 260, 'subsample': 0.7}",0.9208040687817873,0.9195736434108527,0.9273255813953488,0.9225677645293296,0.0034015783244735623,390
4,36.925365924835205,1.9815571155650225,0.0715025266011556,0.009833692053353894,0.4,0.15,5,280,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 280, 'subsample': 0.4}",0.919108743037055,0.9212693798449613,0.9224806201550387,0.920952914345685,0.001394632958611846,534
5,41.267096519470215,2.594288270285188,0.07006486256917317,0.009735755605349693,0.4,0.15,5,280,0.5,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 280, 'subsample': 0.5}",0.9205618793896827,0.9198158914728682,0.9263565891472868,0.9222447866699458,0.002923390064349754,423
6,44.021960417429604,3.7939862824639863,0.07654786109924316,0.0009120743799048637,0.4,0.15,5,280,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 280, 'subsample': 0.6}",0.9232259627028336,0.9224806201550387,0.9295058139534884,0.9250707989371203,0.0031507567900370226,134
7,48.94118070602417,3.27755412799321,0.05997689565022787,0.011160686142494184,0.4,0.15,5,280,0.7,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 280, 'subsample': 0.7}",0.9227415839186244,0.9217538759689923,0.9270833333333334,0.9238595977403167,0.0023149147037855263,265
8,42.048179626464844,0.22379101559609546,0.08419966697692871,0.0017319350613821225,0.4,0.15,5,300,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.4}",0.919108743037055,0.9212693798449613,0.9227228682170543,0.9210336636996903,0.0014848449481415587,531
9,39.13684344291687,6.100693173837627,0.08017365137736003,0.0019992223830736238,0.4,0.15,5,300,0.5,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.5}",0.9200775006054734,0.9193313953488372,0.9249031007751938,0.9214373322431682,0.002469525177259702,499
10,49.548161347707115,3.8965775638110056,0.08084456125895183,0.0012301539441182357,0.4,0.15,5,300,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.6}",0.9234681520949383,0.9232073643410853,0.9290213178294574,0.9252322780884937,0.002681370194768822,116
11,55.713608264923096,0.1376238810458632,0.06435139973958333,0.012316923952906194,0.4,0.15,5,300,0.7,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.7}",0.9220150157423105,0.9232073643410853,0.9263565891472868,0.9238596564102276,0.0018314709234744989,263
12,44.179637829462685,0.6436176942798226,0.07979798316955566,0.012040754335522815,0.4,0.15,5,320,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 320, 'subsample': 0.4}",0.9181399854686365,0.9186046511627907,0.9246608527131783,0.9204684964482018,0.0029705068973938527,560
13,49.75953181584676,1.2268581197188546,0.07905324300130208,0.012625009592058346,0.4,0.15,5,320,0.5,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 320, 'subsample': 0.5}",0.9195931218212642,0.9198158914728682,0.9249031007751938,0.921437371356442,0.0024523277217669134,497
14,54.71051343282064,0.835610065285375,0.08489592870076497,0.002606258382322547,0.4,0.15,5,320,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 320, 'subsample': 0.6}",0.9222572051344151,0.9232073643410853,0.9280523255813954,0.9245056316856318,0.002537712726346218,190
15,52.834495067596436,5.307646132108054,0.08647457758585612,0.002443086013477483,0.4,0.15,5,320,0.7,"{'colsample_bytree': 0.4, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 320, 'subsample': 0.7}",0.9232259627028336,0.9244186046511628,0.9253875968992248,0.9243440547510738,0.0008840565085462077,214
